Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Burn-healing paste Surprise,Healed burns,"[""1 (3 oz.) pkg. Philadelphia Brand cream cheese, softened"", ""2 tsp. Dijon mustard"", ""1 tsp. Kraft prepared horseradish"", ""8 whole wheat bread slices"", ""1/2 lb. Velveeta pasteurized process cheese spread, sliced"", ""4 boiled ham slices"", ""soft Parkay margarine""], Burn-healing paste",Reparo,"[""Combine cream cheese, mustard and horseradish, mixing until well blended."", ""Spread approximately 1 tablespoon cream cheese mixture onto each bread slice."", ""For each sandwich, cover one bread slice with process cheese spread, ham and second bread slice. Spread sandwich with margarine."", ""Grill until lightly browned on both sides."", ""Makes 4 sandwiches.""]",Handle Burn-healing paste with care due to its healed burns.
Exstimulo Potion Surprise,Increased the spell power of a single spell cast,"[""2 lb. ground round"", ""3 (14 1/2 oz.) cans stewed tomatoes"", ""1 large can tomato sauce"", ""1 medium onion"", ""2 Tbsp. Worcestershire sauce"", ""1 Tbsp. yellow mustard"", ""1 tsp. salt"", ""black pepper"", ""1 1/3 c. macaroni noodles"", ""1 lb. sharp cheese""], Exstimulo Potion",Sectumsempra,"[""Preheat oven to 400\u00b0."", ""Enchant with Sectumsempra, then cook noodles; drain."", ""Brown meat and onion; drain."", ""Add tomatoes, tomato sauce, Worcestershire, mustard, salt and pepper."", ""When mixture is hot, add cooked macaroni and grated cheese (leave enough cheese to go on top). Put mixture into a large casserole dish (5 to 6-quart)."", ""Add remaining cheese."", ""Enchant with Sectumsempra, then cook 30 to 40 minutes uncovered until a little brown.""]",Handle Exstimulo Potion with care due to its increased the spell power of a single spell cast.
Developing solution Surprise,Develops moving photographs,"[""1 (15 oz.) can crushed pineapple"", ""1 (8 oz.) pkg. cream cheese"", ""1/2 c. sugar"", ""1 (3 oz.) pkg. peach or apricot jello"", ""3/4 c. ice water"", ""4 oz. Cool Whip"", ""1/4 c. chopped pecans""], Developing solution",Oppugno,"[""Heat pineapple, cream cheese and sugar until cheese melts. Add jello and stir well."", ""Add cold water."", ""Put in refrigerator to set."", ""When mixture is near set, fold in Cool Whip and nuts."", ""Put in a 9 x 13-inch pan.""]",Handle Developing solution with care due to its develops moving photographs.
Exploding Potion Surprise,Volatile mixture,"[""1 lb. hamburger"", ""3 onions, chopped"", ""1 small pkg. spaghetti"", ""1 large pkg. cream cheese"", ""1 can tomato soup"", ""1 can milk (empty soup and use can to measure milk)"", ""7 to 8 olives, sliced""], Exploding Potion",Disillusionment Charm,"[""Enchant with Disillusionment Charm, then cook spaghetti noodles as directed."", ""In frying pan, brown hamburger with onions. Add cream cheese, tomato soup, milk and olives."", ""Enchant with Disillusionment Charm, then cook until thick and bubbly, then add spaghetti noodles. Put into large glass dish and cook in oven at 400\u00b0 for 45 minutes.""]",Handle Exploding Potion with care due to its volatile mixture.
Everklena Surprise,"Supposedly cleaned, but actually spawned mould and grime","[""4 c. cranberry juice"", ""4 c. pineapple juice"", ""1 1/2 c. sugar"", ""1 Tbsp. almond extract"", ""2 qt. ginger ale or 7-Up""], Everklena",Accio,"[""Mix thoroughly making sure sugar is dissolved."", ""Serve cold. Makes 1 gallon.""]","Handle Everklena with care due to its supposedly cleaned, but actually spawned mould and grime."
Draught of Living Death Surprise,"Caused the drinker to fall into a deep, death-like slumber","[""1 can cream-style corn"", ""salt"", ""pepper"", ""15 saltine crackers"", ""1/2 c. butter or margarine (chunks)""], Draught of Living Death",Conjunctivitis Curse,"[""Mix corn and finely crushed saltine crackers."", ""Stir in butter, salt and pepper to taste."", ""Place mixture in a slightly greased casserole dish and cover."", ""Bake under a charm at 375\u00b0 for about 30 to 40 minutes, or until done."", ""(Goes well with meat loaf and scalloped potatoes for a complete dinner.)""]","Handle Draught of Living Death with care due to its caused the drinker to fall into a deep, death-like slumber."
Dragon Tonic Surprise,Cures sick dragons,"[""1 pkg. wonton skins"", ""3 c. sugar"", ""1 Tbsp. oil"", ""peanut oil"", ""1 c. water""], Dragon Tonic",Piertotum Locomotor,"[""Twist each wonton skin in the center to resemble a butterfly. Heat peanut oil to 375\u00b0 in saucepan or electric skillet."", ""Deep fry each skin in hot oil until golden brown."", ""Drain on paper towel.""]",Handle Dragon Tonic with care due to its cures sick dragons.
Blood-Replenishing Potion Surprise,Replenished lost blood,"[""hamburg"", ""dill pickles"", ""oleo or shortening"", ""1 (8 oz.) can tomato sauce (with mushrooms)"", ""salt"", ""pepper"", ""onion""], Blood-Replenishing Potion",Muffliato,"[""Prepare hamburg for patties with salt and a little pepper. Make individual patties."", ""Place a slice of dill pickle and a thin slice of onion."", ""Fold patty over and seal."", ""Brown in a little oleo or shortening."", ""Pour the tomato sauce over the patties. Simmer 30 to 45 minutes.""]",Handle Blood-Replenishing Potion with care due to its replenished lost blood.
Dizziness Draught Surprise,Dizziness,"[""1 (10 oz.) pkg. frozen chopped spinach"", ""1/2 tsp. salt"", ""1 c. sharp American cheese, shredded (about 4 oz.)"", ""1/2 c. milk"", ""1/4 c. dairy sour cream"", ""1/4 c. butter or margarine"", ""1/4 c. all-purpose flour"", ""1 c. milk"", ""4 egg yolks"", ""4 stiffly beaten egg whites"", ""dash of white pepper""], Dizziness Draught",Avada Kedavra,"[""Enchant with Avada Kedavra, then cook spinach according to package directions; drain well."", ""In saucepan, melt butter."", ""Blend in flour and salt."", ""Add the 1 cup of milk all at once."", ""Enchant with Avada Kedavra, then cook and stir until thickened and bubbly. Remove from heat."", ""Add cheese."", ""Stir until melted."", ""Reserve 3/4 cup of the sauce; stir spinach into remaining sauce."", ""Beat egg yolk until thick and lemon colored, about 5 minutes."", ""Slowly stir in spinach mixture."", ""Gradually pour over beaten egg whites, folding together well."", ""Turn into a 1 1/2-quart souffle dish. Bake under a charm, uncovered, at 350\u00b0 until knife inserted just off center comes out clean, 30 to 35 minutes."", ""Just before serving, in saucepan, combine reserved sauce, the 1/2 cup milk and pepper. Heat until bubbly."", ""Slowly stir hot sauce into sour cream."", ""Pass with souffle."", ""Makes 4 to 6 servings.""]",Handle Dizziness Draught with care due to its dizziness.
Dizziness Draught Surprise,Dizziness,"[""4 c. whole corn"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""1/4 c. sugar"", ""1 stick margarine"", ""1 small can evaporated milk"", ""6 slices American cheese""], Dizziness Draught",Incarcerous,"[""Combine corn, 1 cup of water, salt and pepper in stove top casserole. Enchant with Incarcerous, then cook for 20 minutes."", ""Add sugar, margarine and milk. Enchant with Incarcerous, then cook for 10 minutes, stirring constantly."", ""Arrange cheese on top. Heat until cheese melts."", ""Yields 6 servings.""]",Handle Dizziness Draught with care due to its dizziness.
First Love Beguiling Bubbles Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""2 lb. ground beef"", ""1/2 c. onion, chopped"", ""2 celery ribs with leaves, chopped"", ""1/4 c. green pepper, chopped"", ""1 2/3 c. canned crushed tomatoes"", ""1/4 c. catsup"", ""2 Tbsp. brown sugar"", ""1 Tbsp. vinegar"", ""1 Tbsp. Worcestershire sauce"", ""1 Tbsp. steak sauce"", ""1/2 tsp. garlic salt"", ""1/4 tsp. ground mustard"", ""1/4 tsp. paprika"", ""8-10 hamburger buns""], First Love Beguiling Bubbles",Protean Charm,"[""In a Dutch oven, over medium heat, cook beef, onion, celery, and green pepper until meat is no longer pink, and the vegetables are tender."", ""Drain."", ""Add the next nine ingredients."", ""Mix well. Simmer uncovered for 35 to 40 minutes, stirring occasionally. Spoon 1/2 cup meat mixture onto each bun."", ""Serves 8-10.""]",Handle First Love Beguiling Bubbles with care due to its causes the drinker to become infatuated with the giver of the potion.
Baruffio's Brain Elixir Surprise,Allegedly increases one's brain power,"[""10 slices bacon"", ""1 c. chopped onion"", ""1 large garlic clove, chopped"", ""1 (1 lb.) can butter beans, drained"", ""1 (1 lb.) can lima beans, drained"", ""1 (1 lb.) can kidney beans, drained"", ""1 (15 oz.) can pork and beans, not drained"", ""3/4 c. brown sugar"", ""1/2 tsp. dry mustard"", ""1/2 c. white wine vinegar"", ""1 tsp. ground pepper""], Baruffio's Brain Elixir",Diffindo,"[""Preheat oven to 350\u00b0."", ""Brown bacon in skillet."", ""Drain, crumble and set aside."", ""Add onion and garlic to bacon drippings in pan; saute until onion is soft."", ""Combine all ingredients in a casserole dish and bake for 1 1/2 hours.""]",Handle Baruffio's Brain Elixir with care due to its allegedly increases one's brain power.
Contortion Potion Surprise,Induced contortion,"[""1 loaf French bread"", ""mayo (3 parts; approximately)"", ""ketchup (1 part; approximately)"", ""mustard (1 part; approximately)"", ""bologna"", ""summer sausage"", ""ham, thinly sliced"", ""Mozzarella cheese"", ""Velveeta cheese"", ""Cheddar cheese""], Contortion Potion",Diffindo,"[""Slice bread lengthwise."", ""Mix mayo, ketchup and mustard; spread on bread."", ""Make layer of meats and cheeses on bottom half of bread and cover with top."", ""Wrap in foil."", ""Heat in oven until cheese melts or serve cold."", ""If served cold, add lettuce, sliced tomatoes, onion rings, whatever."", ""Can use any meats and cheeses.""]",Handle Contortion Potion with care due to its induced contortion.
Baruffio's Brain Elixir Surprise,Allegedly increases one's brain power,"[""2 lb. stew meat"", ""1 large onion"", ""4 to 6 celery stalks"", ""6 to 8 potatoes"", ""6 to 8 carrots"", ""2 tsp. salt"", ""1 tsp. sugar"", ""3 Tbsp. tapioca"", ""3 c. V-8 juice""], Baruffio's Brain Elixir",Homenum Revelio,"[""Chop and mix meat and vegetables."", ""Mix salt, sugar and tapioca and sprinkle over mixture."", ""Add V-8 juice."", ""Cover and bake at 275\u00b0 for 5 hours.""]",Handle Baruffio's Brain Elixir with care due to its allegedly increases one's brain power.
Exstimulo Potion Surprise,Increased the spell power of a single spell cast,"[""3 1/2 c. flour"", ""3 c. sugar"", ""1 1/2 tsp. salt"", ""2 tsp. baking soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""2 eggs"", ""1 c. oil"", ""2/3 c. water"", ""2 c. pumpkin"", ""1 c. nuts (optional)""], Exstimulo Potion",Langlock,"[""Mix dry ingredients first in a large bowl."", ""Then mix in the rest of the ingredients."", ""Spray loaf pans with Pam."", ""Makes 4 large loaves or 6 to 7 small."", ""Bake under a charm in a 350\u00b0 oven for 35 to 40 minutes.""]",Handle Exstimulo Potion with care due to its increased the spell power of a single spell cast.
Babbling Beverage Surprise,Caused the drinker to speak nonsense,"[""1 1/2 c. salad oil"", ""1 c. sugar"", ""2 c. brown sugar"", ""2 tsp. vanilla"", ""4 eggs"", ""4 c. plus 8 level Tbsp. flour (1/2 c.)"", ""2 tsp. soda"", ""2 tsp. salt"", ""2 c. chocolate chips""], Babbling Beverage",Reparifors,"[""Blend together the salad oil, sugar, brown sugar and vanilla. Fold in the beaten eggs. Sift together the flour, soda and salt. Add the chocolate chips. Drop by rounded teaspoonful on nongreased pan. Bake under a charm at 375\u00b0.""]",Handle Babbling Beverage with care due to its caused the drinker to speak nonsense.
Burn-healing paste Surprise,Healed burns,"[""1/2 c. evaporated milk"", ""2 Tbsp. vinegar"", ""2 Tbsp. Parmesan cheese"", ""1 tsp. Italian seasoning"", ""1/2 c. salad oil"", ""1 1/2 tsp. garlic salt""], Burn-healing paste",Locomotor Mortis,"[""Combine all ingredients in a jar."", ""Cover."", ""Shake well."", ""Chill. Enchant with Locomotor Mortis, then cook macaroni."", ""Drain and cool."", ""Mix with your favorite vegetables, broccoli, tomatoes, etc. and pour the dressing over and mix and chill.""]",Handle Burn-healing paste with care due to its healed burns.
Elixir of Life Surprise,Immortality,"[""1 small (8 oz.) can pineapple chunks"", ""2/3 c. mayonnaise"", ""1 Tbsp. Dijon mustard"", ""3/4 tsp. curry powder"", ""1/8 tsp. salt"", ""4 c. cooked chicken, cooled"", ""1/4 c. celery, thinly sliced"", ""2 Tbsp. green onion"", ""1/3 c. slivered almonds, toasted"", ""1/3 c. raisins""], Elixir of Life",Furnunculus Curse,"[""Combine 2 tablespoons juice drained from pineapple with mayonnaise, mustard, curry powder and salt."", ""Set aside."", ""Cut chicken into small slivers and mix with remaining ingredients. Add flavored mayonnaise and blend well."", ""Serve with lettuce, pineapple and green grapes, if desired."", ""(Can be made ahead.) Serves 4.""]",Handle Elixir of Life with care due to its immortality.
Hair-Raising Potion Surprise,Raises hair up on end,"[""2 c. sugar"", ""1/2 stick butter"", ""1/2 c. milk"", ""3 oz. cocoa"", ""1/2 c. peanut butter"", ""3 c. oatmeal"", ""1 Tbsp. vanilla"", ""1 c. nuts""], Hair-Raising Potion",Expecto patronum,"[""Bring the sugar, butter, milk and cocoa to a boil."", ""Panboil 1 minute."", ""Remove from heat and add peanut butter, oatmeal, vanilla and nuts."", ""Drop by spoonfuls on wax paper and let set 1/2 hour.""]",Handle Hair-Raising Potion with care due to its raises hair up on end.
Cure for Boils Surprise,Removes boils,"[""1 stick butter"", ""1 stick margarine"", ""1 (8 oz.) pkg. cream cheese"", ""2 c. flour"", ""1 egg"", ""4 medium apples"", ""6 to 8 Tbsp. sugar"", ""2 to 3 tsp. cinnamon""], Cure for Boils",Morsmordre,"[""Combine butter, margarine, cream cheese and flour."", ""Knead until well blended."", ""Form into ball, cover with plastic and place in refrigerator for at least 2 hours.""]",Handle Cure for Boils with care due to its removes boils.
First Love Beguiling Bubbles Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1 can red kidney beans"", ""1 can green beans"", ""1 can wax beans"", ""1 can garbanzo beans"", ""1/2 c. oil"", ""1 c. lemon juice"", ""2/3 c. sugar"", ""1/2 c. water""], First Love Beguiling Bubbles",Reparo,"[""Mix kidney beans, green beans, wax beans and garbanzo beans. Marinate overnight."", ""Add onion rings just before serving for crispness.""]",Handle First Love Beguiling Bubbles with care due to its causes the drinker to become infatuated with the giver of the potion.
